2020-08-30 22:08:490 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //input[@type='email']]
2020-08-30 22:08:874 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> class name: password]
2020-08-30 22:08:32 INFO  LoginStep:45 - clicking on get started button
2020-08-30 22:08:114 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //button[@type='submit']]
2020-08-30 22:08:226 INFO  LoginStep:51 - Validating floating message
2020-08-30 22:08:724 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> class name: ant-notification-notice-with-icon]
2020-08-30 22:08:806 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> class name: ant-notification-notice-description]
2020-08-30 22:08:857 INFO  UtilityClass:123 - **********************************************
2020-08-30 22:08:857 INFO  UtilityClass:124 - Toast message is----> You have successfully signed in to my.journeybinder.com!
2020-08-30 22:08:858 INFO  UtilityClass:125 - **********************************************
2020-08-30 22:08:950 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //a[@href='/']]
2020-08-30 22:08:999 INFO  LoginStep:72 - Dashboard is verified
2020-08-30 22:08:925 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //*[contains(text(),'Admin Management')]]
2020-08-30 22:08:161 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //*[@class = 'hide-icon']]
2020-08-30 22:08:554 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //*[contains(text(),'SMS')]]
2020-08-30 22:08:729 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //input[@placeholder='Custom body']]
2020-08-30 22:08:998 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (e135d0aaf87864d2ca28d981d1d53132)] -> xpath: //button[contains(text(),'SEND')]]
2020-08-30 22:08:370 INFO  LoginStep:21 - Sign Up using Google account
2020-08-30 22:08:256 INFO  LoginStep:29 - Sign Up using Facebook account
2020-08-30 22:08:415 INFO  LoginStep:43 - Sign Up with email id and password
2020-08-30 22:08:283 INFO  LoginStep:43 - Sign Up with email id and password
2020-08-30 22:08:97 INFO  LoginStep:43 - Sign Up with email id and password
2020-08-30 22:08:215 INFO  LoginStep:43 - Sign Up with email id and password
2020-08-30 22:08:17 INFO  LoginStep:53 - Sign Up with email id and password
2020-08-30 22:08:455 INFO  LoginStep:84 - User is on Sign in page
2020-08-30 22:08:798 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (d8ca4e05f8fcbc36fb910ca74cfb88a1)] -> xpath: //*[contains(text(),'Sign In with Google')]]
2020-08-30 22:08:920 INFO  LoginStep:91 - User is on Sign in page
